ITEM,DESCRIPTION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
4448100,EMBRACE WOOD & METAL GATE .COM,0,0,0,0,0,0,0,0,0,0,0,0
44512263,PLAY-AWAY PORT PY WAYFARER    ,0,0,0,0,0,0,0,0,0,0,0,0
44512326,PLAY-AWAY PORT PY CEDAR GROVE ,744,0,0,0,100,0,0,150,154,13,124,210
44512365,PLAY-AWAY PORT PY CEDAR PARK  ,0,0,0,0,0,0,0,0,0,27,52,96
4461000,BARN DOOR WALK THRU GATE      ,1000,0,0,0,60,0,215,350,203,795,761,1195
4471110,MULTIUSE TALLDECOR WLKTHRUGATE,0,1099,1095,1099,1099,697,725,0,11,0,1210,1590
4483100,EASY WALK THRU GATE NEW HANDLE,0,0,0,0,0,0,0,0,0,0,0,0
4486100,EV EASY WALK THRU GATE WHITE  ,0,29,29,29,29,27,115,115,60,0,0,0
4564000,"EV NOW & FUREVER GATE 32"" .COM",0,0,0,0,0,0,0,0,0,0,0,0
4591000,METAL PRESS WALKTHRU PET GATE ,0,0,0,0,0,0,0,0,0,0,0,0
5261100,SOFT N WIDE GATE SPRNGY PUTTY ,0,0,0,0,0,0,0,0,0,0,0,0
5264100,SOFT & WIDE GATE SRD          ,0,0,0,0,0,0,0,0,0,0,0,0
5266100,SOFT WIDE GATE EMERY          ,0,4286,2398,2460,2400,2140,2375,2375,1377,1741,1050,2564
53012310,GOLD VERGE3 TS SCMX ONYX      ,0,0,0,0,0,0,0,0,0,0,0,0
53012311,GOLD VERGE3 TS SCMX MOONSTONE ,0,0,0,0,0,0,0,0,0,0,0,0
53012312,GOLD VERGE3 TS SCMX SAPPHIRE  ,0,0,0,0,0,0,0,0,0,0,0,0
53012336,GOLD VERGE3 TS SCMX GARNET    ,0,0,0,0,0,0,0,0,0,0,0,0
53012337,GOLD VERGE3 TS SCMX OPAL      ,0,0,0,0,0,0,0,0,0,0,0,0
53112310,GOLD PVTXPND TS SCMX ONYX     ,0,0,0,0,0,0,0,0,0,0,0,0
53112311,GOLD PVTXPND TS SCMX MOONSTONE,0,0,0,0,0,0,0,0,0,0,0,0
53112312,GOLD PVTXPND TS SCMX SAPPHIRE ,0,0,0,0,0,0,0,0,0,0,0,0
53112336,GOLD PVTXPND TS SCMX GARNET   ,0,0,0,0,0,0,0,0,0,0,0,0
53112337,GOLD PVTXPND TS SCMX OPAL     ,0,0,0,0,0,0,0,0,0,0,0,0
53212310,GOLD SHYFT TS SCMX ONYX       ,0,0,0,0,0,0,0,0,0,0,0,0
53212311,GOLD SHYFT TS SCMX MOONSTONE  ,0,0,0,0,0,0,0,0,0,0,0,0
