FRC,ITEM,DESCRIPTION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
DTC,83443392,"HDPLW,#1205,GEARS,EMBRACE35   ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443393,"BDYPLW,1733,KIRI,NRTR         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443396,"PAD,#1238,TANGERINE,EMB35     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443397,"PAD,1810,ANDRSN,EMBRC         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443398,"CNPY,#1238,TANGERINE,EMB35    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443400,"HDPLW,#1238,TANGERINE,EMB35   ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443401,"BDYPLW,1757,FLYNN,TRIUMPH     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443406,"CNPY,1810,ANDRSN,EMBRC        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443407,"BDYPLW,1810,ANDRSN,EMBRC      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443408,"BOOT,1810,ANDRSN,EMBRC        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443409,"PAD,1798,JET,EMBRACE          ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443412,"HDPLW,1798,JET,EMBRACE        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443414,"PAD,1795,KONA,EMBRACE         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443415,"PAD,1796,PERIDOT,EMBRACE      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443416,"CNPY,1795,KONA,EMBRACE        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443417,"BOOT,1795,KONA,EMBRACE        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443419,"BCVR,1795,KONA,EMBRACE        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443420,"BOOT,1796,PERIDOT,EMBRACE     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443421,"CNPY,1796,PERIDOT,EMBRACE     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443422,"HDPLW,1796,PERIDOT,EMBRACE    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443423,"BCVR,1796,PERIDOT,EMBRACE     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443476,"PAD,1778,LOGAN,SMMTRYHC       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443477,"PAD,1754,LARGO,EMBRACE        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443478,"BOOT,1754,LARGO,EMBRACE       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443479,"CNPY,1754,LARGO,EMBRACE       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443480,"HDPLW,1754,LARGO,EMBRACE      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443481,"BCKLCVR,1754,LARGO,EMBRACE    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443491,"PAD,1811,LINUS,EMBRACE        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443492,"CNPY,1811,LINUS,EMBRACE       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443493,"HDPLW,1811,LINUS,EMBRACE      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443494,"PAD,1806,LENNOX,EMBRACE       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443495,"CNPY,1806,LENNOX,EMBRACE      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443496,"HDPLW,1806,LENNOX,EMBRACE     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83443508,PAD;1709;PARAMOUNT;SYMPHONY   ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444009,"CANOPY,1793,MNSHWS,LTMX       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444011,"BCKCVR,1793,MNSHDWS,LTMX      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444012,"BDYPLW,1793,MNSHDWS,LTMX      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444013,"HRNSCVR,1793,MNSHDWS,LTMX     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444022,"PAD,1871,AURORA,LTMX          ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444023,"CNPY,1871,AURORA,LTMX         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444025,"BDYPLW,1871,AURORA,LTMX       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444026,"HRNSCVRS,1871,AURORA,LTMX     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444028,"BCKLCVR,1871,AURORA,LTMX      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444029,"PAD,1814,DEEP LAKE,QUATORE    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444031,"BDYPLW,1814,DEEP LAKE,QUATORE ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444032,"PAD2,1814,DEEP LAKE,QUATORE   ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444036,"PAD,1814,DPLK,LTMX            ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444038,"CNPY,1814,DPLK,LTMX           ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444039,"BDYPLW,1814,DPLK,LTMX         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444041,"HDPLW,1814,DPLK,LTMX          ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444048,"BSSNT,1815,DPLK,AERISPY       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444059,"PAD,1877,JAMIE,NURTURE        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444061,"CNPY,1877,JAMIE,NURTURE       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444092,"PAD,1867,FLRNC,EMBRCE         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444093,"CNPY,1867,FLRNC,EMBRCE        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444094,"BASKET,#466,CONGO,JOURNEY     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444095,"HDPLW,1867,FLRNC,EMBRCE       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444096,"PAD,1868,LNDN,EMBRCE          ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444097,"CNPY,1868,LNDN,EMBRCE         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444099,"HDPLW,1868,LNDN,EMBRCE        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444102,"PLYMAT,1629,WRLDEXPLR,TRPLFUN ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444103,"BAG,1881,DAPHNE,PBS PLAYYARD  ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444106,"FLRBRD,1881,DAPHNE,PBS PLYYRD ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444107,"CHNGR,1881,DAPHNE, PBS PLYYRD ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444110,"BASSINET,1881,DAPHNE,PBSPLYYRD",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444111,"TOYBAR,1881,DAPHNE,PBS PLYYRD ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444112,"BAG,1874,HAYDENDOT,PBS PLYYRD ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444113,"CONSOLE,1874,HAYDENDOT,PBSPLY ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444114,"FLRBRD,1874,HAYDENDOT,PBSPLYYD",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444115,"CHANGER,1874,HAYDENDOT,PBSPLY ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444117,"BASSINET,1874,HAYDENDOT,PBSPLY",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444118,"TOYBAR,1874,HAYDENDOT,PBSPLYYD",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444119,"PAD,1881,DAPHNE,SYMMETRY HC   ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444120,"PAD,1874,HAYDENDOT,SYMMETRYHC ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444134,"HDRST,1816,MRSHL,SFMX         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444140,"HDRST,1817,MDLYNN,SFMX        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444153,"PAD,1434,TYLR,EMBRACE         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444154,"CNPY,1434,TYLR,EMBRACE        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444155,"HDPLW,1434,TYLR,EMBRACE       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444159,"PAD,1881,DPHN,EMBRACE         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444161,"BDYPLW,1881,DPHN,EMBRACE      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444165,"PAD,1874,HYDNDT,EMBRACE       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444166,"CNPY,1874,HYDNDT,EMBRACE      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444167,"BDYPLW,1874,HYDNDT,EMBRACE    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444177,"BDYPLW,1888,FALLON,TRMPH      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444184,"PAD,1891,STORM,VICJGR         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444185,"CNPY,1891,STORM,VICJGR        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444206,"PAD,1811,LINUS,EMBRACE        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444208,"HDPLW,1811,LINUS,EMBRACE      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444209,"PAD,1897,OBSDN,SYMPHNY        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444212,"BDYPLW,1897,OBSDN,SYMPHNY     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444220,"PAD,1767,BOUNCEASRS,EXERSCR   ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444229,"PAD,1434,TAYLOR,SYMHCHR       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444236,"HDRST,1930,SHILOH,SYMPHNY     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444242,"HDRST,1929,MASON,SYMPHNY      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444250,"PAD,1924,KIANA,SYMPHNY        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444263,"HDRST,1884,DELMAR,SYMPHNY     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444267,"PAD,1234,MARIANNA,SYMTRY HC   ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444268,"PAD,1215,KOI,SYMTRY HC        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444269,"PAD,1894,SPRMTSPREE,SYMTRY HC ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444273,"FLRBD,1894,SPRMTSPRE,PBSPLYYRD",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444274,"CHNGR,1894,SPRMTSPRE,PBSPLYYRD",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444276,"BASS,1894,SPRMTSPRE,PBSPLYYRD ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444301,"PAD,1894,SPRMNTSPR,EMBRACE    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444302,"CNPY,1894,SPRMNTSPR,EMBRACE   ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444303,"BDYPLW,1894,SPRMNTSPR,EMBRACE ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444331,"PAD,1931,MNSDWS,LTMX          ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444332,"TSLD,1931,MNSDWS,LTMX         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444333,"PAD,1932,SDSPRNG,LTMX         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444335,"PAD,1215,KOI,EMBRACE          ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444336,"CNPY,1215,KOI,EMBRACE         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444338,"HDPLW,1215,KOI,EMBRACE        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444339,"PAD,1234,MRNNA,EMBRACE        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444342,"HDPLW,1234,MRNNA,EMBRACE      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444351,"PAD,4920,SWEETTEA,EXER        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444365,"PAD,1956,CPRBREEZE,SYMPHNY    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444368,"PAD,1938,MOOVINGROOV,MEGAEXER ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444371,"BDYPLW,1956,CPRBREEZE,SYMPHNY ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444378,"BDYPLW,1957,CSTLERCKG,SYMPHNY ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444441,"PAD,1985,GNTHR,TRBTE          ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444456,"ASY,PADSET,1648,CNCRD,SYMPNY  ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444468,"PAD,1930,SHLH,LTMX            ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444469,"BDYPLW,1930,SHLH,LTMX         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444470,"CNPY,1930,SHLH,LTMX           ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444471,"HRNSCVR,1930,SHLH,LTMX        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444472,"TSHLD,1930,SHLH,LTMX          ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444473,"PAD,1978,NICO,LTMX            ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444474,"CNPY,1978,NICO,LTMX           ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444475,"BDYPLW,1978,NICO,LTMX         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444476,"HRNSCVR,1978,NICO,LTMX        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444477,"TSHLD,1978,NICO,LTMX          ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444478,"PAD,1966,NOELLE,LTMX          ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444479,"CNPY,1966,NOELLE,LTMX         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444480,"BDYPLW,1966,NOELLE,LTMX       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444481,"HRNSCVR,1966,NOELLE,LTMX      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444482,"TSHLD,1966,NOELLE,LTMX        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444486,"BDYPLW,1979,RSBRRYSRBT,SYMPHNY",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444487,"PAD,1921,ASPNSKS,MSTR         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444488,HRNSCVR;1921;ASPNSKS;MSTR     ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444489,"PAD,1980,RSPBRRYPNCH,MSTR     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444490,"HRNSCVR,1980,RSPBRRYPNCH,MSTR ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444491,"PAD,1981,NIGHTFALL,MSTR       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444492,"HRNSCVR,1981,NIGHTFALL,MSTR   ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444493,"PAD,1982,BSCYBY,MSTRO         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444494,"HRNSCVRS,1982,BSCYBY,MSTRO    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444502,"HRNSCVRS,1770,JET,SRRD        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444503,"BUCKLE CVR,1770,JET,SRRD      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444504,"PAD,1648,CNCRD,SYMPHNY        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444507,"PAD,1909,PNYPLYGRND,BK        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444508,"PAD,1910,GDY2TNS,BK           ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444523,"TSHIELD,1886,OTTAWA,TRMPH     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444525,"PAD,1975,CHRCL,LTMX           ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444526,"CNPY,1975,CHRCL,LTMX          ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444527,"HDPLW,1975,CHRCL,LTMX         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444540,"PAD,1952,MNRGRY,LTMX          ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444541,"CNPY,1952,MNRLGRAY,LTMX       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444542,"HDPLW,1952,MNRLGRAY,LTMX      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444549,"PAD,1977,SLTEBLUE,LTMX        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444550,"CNPY,1977,SLTEBLUE,LTMX       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444551,"HDPLW,1977,SLTEBLUE,LTMX      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444566,"HRNSCV,1940,CHRRBLSSM,SURERIDE",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444567,"BCVR,1940,CHRRBLSSM,SURERIDE  ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444573,"PAD,1372,ZOOFRIENDS,EXRSCR    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444574,"PAD,1415,BNCNGBNYRD,EXRSCR    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444590,"FTMUFF,1990,CGREY,LWMD        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444660,"PAD,1883,LDRDLE,SYMPHNY       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444708,PAD;1948;MEGASPLASH;EXER      ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444718,PAD;1629;WRLDEXPLR;EXER       ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444742,PAD;2018;RZZLDZZL;NURTURE     ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444743,CNPY;2018;RZZLDZZL;NURTURE    ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444744,PAD;2019;KZOOBLU;NRTRE        ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444745,CNPY;2019;KZOOBLU;NRTRE       ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444757,PAD;1650;JRDN;SYMPHNY         ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444758,HDRST;1650;JORDAN;SYMPHONY    ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444799,PAD;1732;HENRY;NRTR           ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444804,PAD;1749;BLAKE;NRTR           ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444813,PAD;1557;CRETE;SYMPHNY        ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444818,PAD;1715;HRRSN;SYMPHNY        ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444827,PAD;1979;RSBRRYSRBT;SYMPHNY   ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444830,PAD;1038;OCALA;SYMPHNY        ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444834,PAD;1358;PORTER;SYMPHNY       ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444881,PAD;1476;EMRSN;SYMPHNY        ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444882,PAD;1716;MODESTO;SYMPHONY     ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444904,PAD;1204;BLUE ANGLES;AMP HB   ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444905,PAD;1431;SPROCKET;BK AMP      ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444906,PAD;1432;CARRISSA;BK AMP      ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83444990,PAD;1671;DANICA;BKSPORT       ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445063,PAD;2117;POLARPARTY;EXERFUNTME,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445071,PAD;2070;PNKBLM;NURTURE       ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445072,CNPY;2070;PNKBLM;NURTURE      ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445073,PAD;2069;TLCNFTT;NURTURE      ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445074,CNPY;2069;TLCNFTT;NURTURE     ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445094,PAD;2064;SAHARA;SYMPHNY       ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445095,HDRST;2064;SAHARA;SYMPHNY     ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445115,PAD;1733;KIRI;NRTR            ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445178,PAD;2150;HRTFRD;SYMPHONY;DLX  ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445185,BDYPLW;2144;CTYLTS;SONUS      ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445186,HRNSCVR;2144;CTYLTS;SONUS     ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445199,BDYPLW;2046;KRPNK;TRIUMPH     ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445236,PAD;2173;ASHLNDGRY;SYMPHNY    ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445289,"PAD,1413,GRNCHVRN,EMBRACE     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445290,"CNPY,1413,GREENCHVERON,EMBRACE",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445291,"HDPLW,1413,GRNCHEVRON,EMB     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445301,"PAD,1380,BRIANNE,EMBRACE      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445302,"CNPY,1380,BRIANNE,EMBRACE     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445303,"HDPLW,1380,BRIANNE,EMBRACE    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445342,"HDRST,1699,JOSEFN,SYMPHNY     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445343,"BDYPLW,1699,JOSEFN,SYMPHNY    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445358,"PAD,1178,DENVER,BIGKID        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445362,"BDYPLW,1716,MODESTO,SYMPHONY  ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445366,"BDYPLW,1709,PARAMOUNT,SYMPHNY ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445385,"BDYPLW,1713,EVRTT,TRMPH       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445388,"BDYPLW,1712,CHRLSTN,TRMPH     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445390,"HDRST,1714,KRNS,SYMPHNY       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445391,"BDYPLW,1714,KRNS,SYMPHNY      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445393,"HDRST,1715,HRRSN,SYMPHNY      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445394,"BDYPLW,1715,HRRSN,SYMPHNY     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445397,"CNPY,1702,JUNGLESAFARI,NURTURE",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445398,"PAD,1411,SABRINA,NURTURE      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445399,"CNPY,1411,SABRINA,NURTURE     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445414,"BSSNT,1708,MNACO,PLYYRD       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445416,"BAG,1359,PNLPE,PLYYRD         ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445418,"TYBR,1359,PNLPE,PLYYRD        ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445420,"FLRBRD,1359,PNLPE,PLYYRD      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445421,"BSSNT,1359,PNLPE,PLYYRD       ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445425,"PAD,1505,WDLNDBDDS,EMBRC      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445427,"HDPLW,1505,WDLNDBDDS,EMBRC    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445430,"BDYPLW,1584,FISCHER,TRIUMPH   ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445486,BDYPLW;2169;CHRCLNHT;TRIUMPH  ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445548,PAD;1408;MXWLL;TRIBUTE        ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445571,BDPLW;1979;RSPBRY SRBT;SMPHNY ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445646,PAD;1714;KRONUS;SYMPHONY      ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83445963,BDYPLW;2045;KLLN SK;TRIUMPH   ,0,0,0,0,0,0,0,0,0,0,0,0
DTC,83446005,"PAD,#1197,SAFARIFRIENDS,EXER  ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83446008,"PAD,#1439,DAYATBEACH,EXER     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83446366,"HDRST,1557,CRETE,SYMPHNY      ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83446744,"PAD,#1248,MARIANNA,DISCOVERY  ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83446746,"CNPY,#1248,MARIANNA,DISCOVERY ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83446750,"PAD,#1267,PEACELOVE,AMPGRAPHIC",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83446768,"ARMRST,#1254,GREYCHEVRON,CHASE",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83447932,"PAD,#1441,FLAMES,AMP          ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83447941,"CNPY,#1233,BUTONFLORAL,NURTURE",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83447958,"BDYPLW,1577,DARBY,TRIUMPH     ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83447963,"BDYPLW,1597,TATUM,SURERIDE    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83447988,"BDYPLW,1038,OCALA,SYMPHONY    ",0,0,0,0,0,0,0,0,0,0,0,0
DTC,83448295,BDYPLW;1358;PORTER;SYMPHNY    ,0,0,0,0,0,0,0,0,0,0,0,0
